                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1102,                0.59646,                  1.214,                0.98511,                0.94667,                0.99241,                0.74665,                 0.9046,                0.49011,                 1.1824,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0761,                0.56637,                  1.195,                0.97763,                0.97121,                0.99286,                0.73879,                 0.9472,                0.48533,                 1.2114,               0.000614,               0.000614,               0.000614
                     37,                 1.0645,                0.55837,                  1.197,                0.98525,                 0.9649,                0.99249,                0.75822,                 0.8897,                0.46849,                 1.1687,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0473,                0.55682,                 1.1814,                0.98348,                0.97333,                0.99392,                0.75749,                0.88619,                0.46545,                 1.1651,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0612,                0.54733,                 1.1764,                0.98631,                0.96889,                0.99345,                0.74032,                0.95938,                0.46702,                  1.184,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.0391,                0.54189,                 1.1733,                0.98716,                0.97667,                0.99404,                0.74881,                0.92992,                0.45279,                 1.1705,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.0053,                0.53274,                 1.1847,                0.98089,                0.96977,                0.99267,                0.75393,                0.90463,                 0.4714,                 1.1574,               0.000416,               0.000416,               0.000416
                     42,                0.99451,                0.51497,                 1.1814,                0.97058,                0.97778,                0.99352,                0.76209,                0.86577,                0.46086,                  1.143,              0.0003764,              0.0003764,              0.0003764
                     43,                0.95163,                0.48863,                 1.1755,                0.98468,                0.98333,                0.99406,                0.76224,                0.87614,                0.45825,                 1.1476,              0.0003368,              0.0003368,              0.0003368
                     44,                0.94891,                0.49335,                 1.1559,                0.98549,                0.97889,                0.99415,                0.77135,                0.85702,                0.43958,                 1.1383,              0.0002972,              0.0002972,              0.0002972
                     45,                0.93723,                0.48971,                 1.1631,                0.98768,                0.97961,                0.99445,                0.77155,                0.84842,                0.43601,                 1.1317,              0.0002576,              0.0002576,              0.0002576
                     46,                0.94665,                0.47313,                 1.1457,                0.98449,                0.98765,                0.99442,                0.78199,                0.83016,                0.42912,                  1.118,               0.000218,               0.000218,               0.000218
                     47,                0.94175,                 0.4855,                 1.1565,                 0.9814,                0.98889,                0.99445,                  0.776,                 0.8307,                0.43586,                 1.1228,              0.0001784,              0.0001784,              0.0001784
                     48,                0.92611,                0.46946,                  1.151,                0.98463,                0.99222,                0.99466,                0.78275,                0.82522,                0.42028,                 1.1165,              0.0001388,              0.0001388,              0.0001388
                     49,                0.90067,                0.46378,                 1.1297,                0.99107,                0.98658,                0.99458,                0.78394,                0.81934,                0.41998,                  1.113,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.88357,                0.45568,                 1.1165,                0.98778,                0.98783,                0.99453,                 0.7854,                0.82401,                0.42366,                 1.1117,               5.96e-05,               5.96e-05,               5.96e-05
